film,race,gender,words
The Fellowship Of The Ring,Elf,female,1229
The Fellowship Of The Ring,Elf,male,971
The Fellowship Of The Ring,Hobbit,female,14
The Fellowship Of The Ring,Hobbit,male,3644
The Fellowship Of The Ring,Man,female,0
The Fellowship Of The Ring,Man,male,1995
The Two Towers,Elf,female,331
The Two Towers,Elf,male,513
The Two Towers,Hobbit,female,0
The Two Towers,Hobbit,male,2463
The Two Towers,Man,female,401
The Two Towers,Man,male,3589
The Return Of The King,Elf,female,183
The Return Of The King,Elf,male,510
The Return Of The King,Hobbit,female,2
The Return Of The King,Hobbit,male,2673
The Return Of The King,Man,female,268
The Return Of The King,Man,male,2459
